pdg_rank,gene_name,best_score,mean_score,n_ppi,best_rank,ppi_list
274,ZFPM2,0.999210000038147,0.999210000038147,1,82,MULTINET
275,PKD1,0.9992091059684753,0.9992091059684753,1,39,IREF_2015
276,EPN1,0.9992061257362366,0.9992061257362366,1,83,MULTINET
277,DDB1,0.9992009997367859,0.9992009997367859,1,85,MULTINET
278,EPOR,0.9991995692253113,0.9991995692253113,1,41,IREF_2015
279,HDAC7,0.9991804957389832,0.9991804957389832,1,87,MULTINET
280,SHANK2,0.9991642236709595,0.9991642236709595,1,44,IREF_2015
281,DAPK1,0.9991596937179565,0.9991596937179565,1,46,IREF_2015
282,SMARCC2,0.9991564750671387,0.9991564750671387,1,47,IREF_2015
283,HMGB1,0.9991497993469238,0.9991497993469238,1,89,MULTINET
284,RERE,0.9991487264633179,0.9991487264633179,1,48,IREF_2015
285,PTK2,0.9991439580917358,0.9991439580917358,1,49,IREF_2015
286,PAX6,0.9991357922554016,0.9991357922554016,1,90,MULTINET
287,CAD,0.9991289973258972,0.9991289973258972,1,92,MULTINET
288,HIVEP1,0.9991214871406555,0.9991214871406555,1,93,MULTINET
289,CFLAR,0.999108612537384,0.999108612537384,1,94,MULTINET
290,MTA1,0.9990850687026978,0.9990850687026978,1,95,MULTINET
291,HGS,0.9990620017051697,0.9990620017051697,1,97,MULTINET
292,IL2RG,0.9990541338920593,0.9990541338920593,1,56,IREF_2015
293,KPNA4,0.9990536570549011,0.9990536570549011,1,57,IREF_2015
294,PPARGC1A,0.999036431312561,0.999036431312561,1,99,MULTINET
295,PRKCA,0.9990321397781372,0.9990321397781372,1,60,IREF_2015
296,HDAC9,0.998945415019989,0.998945415019989,1,69,IREF_2015
297,PTPRJ,0.998930037021637,0.998930037021637,1,71,IREF_2015
298,ATF2,0.9989140033721924,0.9989140033721924,1,72,IREF_2015
299,RIMS2,0.9989050626754761,0.9989050626754761,1,74,IREF_2015
300,AKAP6,0.9988917708396912,0.9988917708396912,1,30,IREF
301,KALRN,0.9988576173782349,0.9988576173782349,1,31,IREF
302,ARFGEF1,0.9988048076629639,0.9988048076629639,1,81,IREF_2015
303,VPS13A,0.9988045692443848,0.9988045692443848,1,82,IREF_2015
304,TRPC4,0.998781144618988,0.998781144618988,1,85,IREF_2015
305,MDN1,0.9987803101539612,0.9987803101539612,1,32,IREF
306,CDH2,0.9987702965736389,0.9987702965736389,1,33,IREF
307,DLGAP4,0.9987622499465942,0.9987622499465942,1,88,IREF_2015
308,STAT1,0.998673677444458,0.998673677444458,1,98,IREF_2015
309,SYNE2,0.9982196688652039,0.9982196688652039,1,49,IREF
310,WWP1,0.9980477094650269,0.9980477094650269,1,54,IREF
311,HNF4A,0.9980327486991882,0.9980327486991882,1,56,IREF
312,KANSL1,0.9980005621910095,0.9980005621910095,1,58,IREF
313,TIAM2,0.9977626800537109,0.9977626800537109,1,61,IREF
314,AP2A2,0.9976329803466797,0.9976329803466797,1,64,IREF
315,COL6A3,0.9976158142089844,0.9976158142089844,1,65,IREF
316,ARHGEF2,0.9976112842559814,0.9976112842559814,1,66,IREF
317,MUC17,0.9975335597991943,0.9975335597991943,1,70,IREF
318,COL4A1,0.9974143505096436,0.9974143505096436,1,77,IREF
319,L1CAM,0.9973589777946472,0.9973589777946472,1,79,IREF
320,NR3C1,0.9972398281097412,0.9972398281097412,1,82,IREF
321,MYO9A,0.9971447587013245,0.9971447587013245,1,86,IREF
322,MYH6,0.9970754384994507,0.9970754384994507,1,89,IREF
323,RIPK1,0.9970493316650391,0.9970493316650391,1,90,IREF
324,RHOBTB1,0.9969847798347473,0.9969847798347473,1,92,IREF
325,COL4A2,0.996895432472229,0.996895432472229,1,95,IREF
326,DCLK1,0.9967834949493408,0.9967834949493408,1,100,IREF
